,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
151,031210,KR7031210008,서울보증보험,KOSPI,,44900,1,1200,2.75,43900,44900,43700,36874,1632829900,3134989750200,69821598,STK
152,035250,KR7035250000,강원랜드,KOSPI,,14590,1,250,1.74,14350,14750,14320,338739,4945772650,3121391895000,213940500,STK
153,009420,KR7009420001,한올바이오파마,KOSPI,,59700,2,-700,-1.16,60100,61400,57850,218964,12946156600,3118766088600,52240638,STK
154,319400,KR7319400008,현대무벡스,KOSDAQ,우량기업부,28000,1,2700,10.67,25500,30150,25350,9773083,280309158800,3118529092000,111376039,KSQ
155,028670,KR7028670008,팬오션,KOSPI,,5790,1,160,2.84,5680,5800,5660,2372468,13589648370,3095157474480,534569512,STK
156,008930,KR7008930000,한미사이언스,KOSPI,,44300,2,-50,-0.11,43950,44450,42500,162179,7076414050,3029745665000,68391550,STK
157,006360,KR7006360002,GS건설,KOSPI,,35350,2,-350,-0.98,36450,36650,33750,2080996,72722687100,3025305671500,85581490,STK
158,084370,KR7084370006,유진테크,KOSDAQ,우량기업부,131100,2,-3900,-2.89,135100,137500,123000,141541,18211139200,3004293106200,22916042,KSQ
159,302440,KR7302440003,SK바이오사이언스,KOSPI,,37650,1,800,2.17,36850,37850,36850,63121,2361406325,2953889220450,78456553,STK
160,012750,KR7012750006,에스원,KOSPI,,77700,2,-400,-0.51,76800,77800,76200,34679,2675446200,2952536130600,37999178,STK
161,023530,KR7023530009,롯데쇼핑,KOSPI,,102900,1,3400,3.42,99800,103100,99500,158161,16179541000,2910912889500,28288755,STK
162,131290,KR7131290009,티에스이,KOSDAQ,우량기업부,260000,1,1000,0.39,261000,274500,248500,103411,26806798000,2875971540000,11061429,KSQ
163,005850,KR7005850003,에스엘,KOSPI,,61600,1,2600,4.41,58800,61900,58700,121386,7367954950,2861228832000,46448520,STK
164,095610,KR7095610002,테스,KOSDAQ GLOBAL,우량기업부,147500,1,2500,1.72,152400,157500,139450,460898,67573307750,2855600000000,19360000,KSQ
165,375500,KR7375500006,DL이앤씨,KOSPI,,73800,1,300,0.41,74700,76400,72800,217727,16110728000,2855589377400,38693623,STK
166,483650,KR7483650008,달바글로벌,KOSPI,,228500,2,-7500,-3.18,236000,236000,223500,238990,54636941250,2854859577500,12493915,STK
167,004800,KR7004800009,효성,KOSPI,,169700,1,4800,2.91,167600,171000,163300,13899,2328470650,2840847067900,16740407,STK
168,017800,KR7017800004,현대엘리베이터,KOSPI,,72500,1,600,0.83,71900,72900,71100,78826,5701969750,2834197912500,39092385,STK
169,450080,KR7450080007,에코프로머티,KOSPI,,39900,1,550,1.4,39400,40650,38500,274415,10816944350,2825473413000,70813870,STK
170,085620,KR7085620003,미래에셋생명,KOSPI,,20850,1,1500,7.75,19350,21050,19340,303943,6121807045,2818503000000,135180000,STK
171,347850,KR7347850000,디앤디파마텍,KOSDAQ,기술성장기업부,61400,2,-300,-0.49,62200,63700,59200,759933,46393329500,2814429192600,45837609,KSQ
172,257720,KR7257720003,실리콘투,KOSDAQ,우량기업부,42850,1,2050,5.02,41800,45000,41550,2550832,110983065450,2809942398200,65576252,KSQ
173,192820,KR7192820009,코스맥스,KOSPI,,247500,2,-1500,-0.6,241000,251000,239000,148572,36604559250,2809003477500,11349509,STK
174,080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,81500,2,-6800,-7.7,89000,91000,79200,4217565,351086523350,2807090889500,34442833,KSQ
